140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
140322952504402329,10000000000000000000
140322952571091763,00000001000000000000
